tail_number,engine_uid
N454AV,01P08CM105
N567AV,3CM026
N664AV,01P08CM105
N763AV,01P08CM105
N939AV,01P08CM105
N980AV,3CM026
N686TA,3CM026
AP-BOV,3CM026
AP-BOZ,3CM026
AP-BPM,01P08CM105
AP-BPL,01P08CM105
AP-BPE,3CM026
AP-BOQ,3CM026
AP-BOP,3CM026
AP-BOO,3CM026
CC-BAF,1IA003
CC-BAG,1IA003
CC-BAH,1IA003
CC-BAI,1IA003
CC-BAQ,3CM026
CC-BAR,3CM026
CC-BAS,3CM026
CC-BAT,3CM026
CC-BAU,3CM026
CC-BAW,3CM026
CC-BAX,3CM026
CC-BFA,3CM026
CC-BFB,3CM026
CC-BFC,3CM026
CC-BFD,3CM026
CC-BFE,3CM026
CC-BFH,3CM026
CC-COE,1IA003
CC-COF,1IA003
CC-COH,1IA003
CC-COI,1IA003
CC-COP,1IA003
