departure_date_local,timestamp_utc_start,timestamp_utc_end,carrier,flight_number,tail_number,origin_airport,destination_airport,attributed_contrail_km,eef_climatology_terajoules,analyzed_flight_length_km
2024-09-13,1726233986,1726235308,D0,361,GDHLO,JFK,LEJ,323.8369464,41.46382816,1457.753933
2024-09-13,1726235848,1726236205,D0,361,GDHLO,JFK,LEJ,89.80828717,10.52399629,1457.753933
2024-09-13,null,null,D0,366,GDHLJ,EMA,JFK,null,null,1295.512687
2024-09-12,1726147223,1726147591,D0,361,GDHLO,JFK,LEJ,88.62090937,11.86888121,1423.06746
2024-09-12,1726148132,1726148319,D0,361,GDHLO,JFK,LEJ,45.12826696,5.915427031,1423.06746
2024-09-12,1726147770,1726147952,D0,361,GDHLO,JFK,LEJ,43.87045428,5.829947971,1423.06746
2024-09-12,1726148012,1726148070,D0,361,GDHLO,JFK,LEJ,14.03594127,1.854590321,1423.06746
2024-09-12,null,null,D0,375,GDHLL,CVG,BRU,null,null,2282.829404
2024-09-12,null,null,D0,1,GDHMB,CVG,EMA,null,null,2268.239557
2024-09-12,null,null,D0,367,GDHLJ,JFK,EMA,null,null,1487.175246
2024-09-12,null,null,D0,366,GDHLJ,EMA,JFK,null,null,1349.250889
2024-09-18,1726621282,1726621342,D0,3,GDHMA,NGO,CVG,15.00149167,9.734165906,2854.961561
2024-09-17,null,null,D0,523,GDHLU,HKG,CVG,null,null,3470.729389
2024-09-18,null,null,D0,2,GDHMA,CVG,NGO,null,null,2179.797201
2024-09-27,null,null,D0,2,GDHLU,CVG,NGO,null,null,2161.453084
2024-09-04,1725454838,1725454959,D0,3,GDHMC,CVG,EMA,30.00331584,3.495981884,2173.146981
2024-09-04,1725458600,1725458780,D0,3,GDHMC,CVG,EMA,38.96824102,4.105437654,2173.146981
2024-09-04,1725454477,1725454590,D0,3,GDHMC,CVG,EMA,27.80739687,3.25798186,2173.146981
2024-09-03,null,null,D0,2,GDHLP,EMA,CVG,null,null,2065.292597
2024-09-23,1727088569,1727089711,D0,385,GDHLV,CVG,EMA,298.715403,27.12360859,2519.316375
2024-09-23,1727093070,1727093320,D0,385,GDHLV,CVG,EMA,75.05851406,9.382095055,2519.316375
2024-09-23,1727093841,1727094020,D0,385,GDHLV,CVG,EMA,54.61176027,6.86294888,2519.316375
2024-09-03,null,null,D0,709,GDHMB,CVG,BAH,null,null,2144.065644
